Date,API2
1/4/2016,47.75
1/5/2016,47.75
1/6/2016,48.4
1/7/2016,48.5
1/8/2016,47.2
1/11/2016,46.7
1/12/2016,46.2
1/13/2016,45.85
1/14/2016,45.85
1/15/2016,45.4
1/19/2016,45.55
1/20/2016,45.5
1/21/2016,45.75
1/22/2016,45.85
1/25/2016,45.6
1/26/2016,45.7
1/27/2016,45.7
1/28/2016,45.8
1/29/2016,45.75
2/1/2016,44.3
2/2/2016,45
2/3/2016,45.2
2/4/2016,44.5
2/5/2016,44.2
2/8/2016,44.15
2/9/2016,43.7
2/10/2016,43.65
2/11/2016,43.6
2/12/2016,43.55
2/16/2016,43.4
2/17/2016,43.55
2/18/2016,43.45
2/19/2016,43.45
2/22/2016,43.5
2/23/2016,44
2/24/2016,43.8
2/25/2016,43.8
2/29/2016,44.3
3/1/2016,44.8
3/2/2016,44.75
3/3/2016,46
3/4/2016,46.35
3/7/2016,46.65
3/8/2016,46.3
3/9/2016,46.5
3/10/2016,46.5
3/11/2016,46.4
3/14/2016,45.9
3/15/2016,45.85
3/16/2016,45.95
3/17/2016,46.4
3/18/2016,46.6
3/21/2016,46.55
3/22/2016,46.5
3/23/2016,46.25
3/24/2016,46.2
3/28/2016,44.55
3/29/2016,44.45
3/30/2016,44.6
3/31/2016,45
4/1/2016,44.9
4/4/2016,44.65
4/5/2016,44.7
4/6/2016,44.45
4/7/2016,44.05
4/8/2016,44.75
4/11/2016,44.95
4/12/2016,44.85
4/13/2016,44.85
4/14/2016,45.6
4/15/2016,45.7
4/18/2016,46.05
4/19/2016,46.05
4/20/2016,45.7
4/21/2016,45.6
4/22/2016,45.65
4/25/2016,45.65
4/26/2016,45.65
4/27/2016,45.75
4/28/2016,45.8
4/29/2016,45.75
5/2/2016,45.8
5/3/2016,45.5
5/4/2016,45.85
5/5/2016,46.4
5/6/2016,47.35
5/9/2016,47.2
5/10/2016,47.4
5/11/2016,47.85
5/12/2016,47.9
5/13/2016,47.9
5/16/2016,48.2
5/17/2016,48.25
5/18/2016,47.95
5/19/2016,47.9
5/20/2016,47.9
5/23/2016,47.8
5/24/2016,47.95
5/25/2016,48.05
5/26/2016,48.2
5/31/2016,51.15
6/1/2016,50.75
6/2/2016,51.05
6/3/2016,51.7
6/6/2016,52.8
6/7/2016,52
6/8/2016,51
6/9/2016,50.75
6/10/2016,50.55
6/13/2016,50.4
6/14/2016,50.4
6/15/2016,50.5
6/16/2016,50.7
6/17/2016,50.9
6/20/2016,51.3
6/21/2016,51.2
6/22/2016,51.3
6/23/2016,51.3
6/24/2016,51.55
6/27/2016,53
6/28/2016,53.45
6/29/2016,53.75
6/30/2016,55
7/1/2016,56.4
7/5/2016,56.75
7/6/2016,56.55
7/7/2016,57.15
7/8/2016,56.5
7/11/2016,56.35
7/12/2016,57.8
7/13/2016,58.35
7/14/2016,58.1
7/15/2016,58
7/18/2016,58
7/19/2016,57.3
7/20/2016,57.15
7/21/2016,57.05
7/22/2016,56.8
7/25/2016,57
7/26/2016,57.2
7/27/2016,57.2
7/28/2016,57.15
7/29/2016,57.05
8/1/2016,61.85
8/2/2016,61.65
8/3/2016,61.2
8/4/2016,59.3
8/5/2016,57.75
8/8/2016,60.1
8/9/2016,60.9
8/10/2016,60
8/11/2016,60.75
8/12/2016,61.45
8/15/2016,61.35
8/16/2016,61
8/17/2016,61.15
8/18/2016,60.75
8/19/2016,60.1
8/22/2016,60.4
8/23/2016,60.35
8/24/2016,60.25
8/25/2016,60.25
8/26/2016,60.25
8/29/2016,59.95
8/30/2016,61.1
8/31/2016,61.4
9/1/2016,61.3
9/2/2016,61.85
9/6/2016,61.75
9/7/2016,60.5
9/8/2016,60
9/9/2016,60.1
9/12/2016,60.15
9/13/2016,60.25
9/14/2016,60.5
9/15/2016,60.9
9/16/2016,61.15
9/19/2016,61.5
9/20/2016,61.5
9/21/2016,61.95
