Date,brent
1/4/2016,37.22
1/5/2016,36.42
1/6/2016,34.23
1/7/2016,33.75
1/8/2016,33.55
1/11/2016,31.55
1/12/2016,30.86
1/13/2016,30.31
1/14/2016,31.03
1/15/2016,28.94
1/18/2016,28.55
1/19/2016,28.76
1/20/2016,27.88
1/21/2016,29.25
1/22/2016,32.18
1/25/2016,30.5
1/26/2016,31.8
1/27/2016,33.1
1/28/2016,33.89
1/29/2016,34.74
2/1/2016,34.24
2/2/2016,32.72
2/3/2016,35.04
2/4/2016,34.46
2/5/2016,34.06
2/8/2016,32.88
2/9/2016,30.32
2/10/2016,30.84
2/11/2016,30.06
2/12/2016,33.36
2/15/2016,33.39
2/16/2016,32.18
2/17/2016,34.5
2/18/2016,34.28
2/19/2016,33.01
2/22/2016,34.69
2/23/2016,33.27
2/24/2016,34.41
2/25/2016,35.29
2/26/2016,35.1
2/29/2016,35.97
3/1/2016,36.81
3/2/2016,36.93
3/3/2016,37.07
3/4/2016,38.72
3/7/2016,40.84
3/8/2016,39.65
3/9/2016,41.07
3/10/2016,40.05
3/11/2016,40.39
3/14/2016,39.53
3/15/2016,38.74
3/16/2016,40.33
3/17/2016,41.54
3/18/2016,41.2
3/21/2016,41.54
3/22/2016,41.79
3/23/2016,40.47
3/24/2016,40.44
3/28/2016,40.27
3/29/2016,39.14
3/30/2016,39.26
3/31/2016,39.6
4/1/2016,38.67
4/4/2016,37.69
4/5/2016,37.87
4/6/2016,39.84
4/7/2016,39.43
4/8/2016,41.94
4/11/2016,42.83
4/12/2016,44.69
4/13/2016,44.18
4/14/2016,43.84
4/15/2016,43.1
4/18/2016,42.91
4/19/2016,44.03
4/20/2016,45.8
4/21/2016,44.53
4/22/2016,45.11
4/25/2016,44.48
4/26/2016,45.74
4/27/2016,47.18
4/28/2016,48.14
4/29/2016,48.13
5/2/2016,45.83
5/3/2016,44.97
5/4/2016,44.62
5/5/2016,45.01
5/6/2016,45.37
5/9/2016,43.63
5/10/2016,45.52
5/11/2016,47.6
5/12/2016,48.08
5/13/2016,47.83
5/16/2016,48.97
5/17/2016,49.28
5/18/2016,48.93
5/19/2016,48.81
5/20/2016,48.72
5/23/2016,48.35
5/24/2016,48.61
5/25/2016,49.74
5/26/2016,49.59
5/27/2016,49.32
5/30/2016,49.76
5/31/2016,49.69
6/1/2016,49.72
6/2/2016,50.04
6/3/2016,49.64
6/6/2016,50.55
6/7/2016,51.44
6/8/2016,52.51
6/9/2016,51.95
6/10/2016,50.54
6/13/2016,50.35
6/14/2016,49.83
6/15/2016,48.97
6/16/2016,47.19
6/17/2016,49.17
6/20/2016,50.65
6/21/2016,50.62
6/22/2016,49.88
6/23/2016,50.91
6/24/2016,48.41
6/27/2016,47.16
6/28/2016,48.58
6/29/2016,50.61
6/30/2016,49.68
7/1/2016,50.35
7/4/2016,50.1
7/5/2016,47.96
7/6/2016,48.8
7/7/2016,46.4
7/8/2016,46.76
7/11/2016,46.25
7/12/2016,48.47
7/13/2016,46.26
7/14/2016,47.37
7/15/2016,47.61
7/18/2016,46.96
7/19/2016,46.66
7/20/2016,47.17
7/21/2016,46.2
7/22/2016,45.69
7/25/2016,44.72
7/26/2016,44.87
7/27/2016,43.47
7/28/2016,42.7
7/29/2016,42.46
8/1/2016,42.14
8/2/2016,41.8
8/3/2016,43.1
8/4/2016,44.29
8/5/2016,44.27
8/8/2016,45.39
8/9/2016,44.98
8/10/2016,44.05
8/11/2016,46.04
8/12/2016,46.97
8/15/2016,48.35
8/16/2016,49.23
8/17/2016,49.85
8/18/2016,50.89
8/19/2016,50.88
8/22/2016,49.16
8/23/2016,49.96
8/24/2016,49.05
8/25/2016,49.67
8/26/2016,49.92
8/29/2016,49.26
8/30/2016,48.37
8/31/2016,47.04
9/1/2016,45.45
9/2/2016,46.83
9/5/2016,47.63
9/6/2016,47.26
9/7/2016,47.98
9/8/2016,49.99
9/9/2016,48.01
9/12/2016,48.32
9/13/2016,47.1
9/14/2016,45.85
9/15/2016,46.59
9/16/2016,45.77
9/19/2016,45.95
9/20/2016,45.88
9/21/2016,46.83
9/22/2016,47.65
9/23/2016,45.89
9/26/2016,47.35
9/27/2016,45.97
9/28/2016,48.69
9/29/2016,49.24
9/30/2016,49.06
10/3/2016,50.89
10/4/2016,50.87
10/5/2016,51.86
10/6/2016,52.51
10/7/2016,51.93
10/10/2016,53.14
10/11/2016,52.41
10/12/2016,51.81
10/13/2016,52.03
10/14/2016,51.95
10/17/2016,51.52
10/18/2016,51.68
10/19/2016,52.67
10/20/2016,51.38
10/21/2016,51.78
10/24/2016,51.46
10/25/2016,50.79
10/26/2016,49.98
10/27/2016,50.47
10/28/2016,49.71
10/31/2016,48.3
11/1/2016,48.14
11/2/2016,46.86
11/3/2016,46.35
11/4/2016,45.58
11/7/2016,46.15
11/8/2016,46.04
11/9/2016,46.36
11/10/2016,45.84
11/11/2016,44.75
11/14/2016,44.43
11/15/2016,46.95
11/16/2016,46.63
11/17/2016,46.49
11/18/2016,46.86
11/21/2016,48.9
11/22/2016,49.12
11/23/2016,48.95
11/24/2016,49
11/25/2016,47.24
11/28/2016,48.24
11/29/2016,46.38
11/30/2016,50.47
12/1/2016,53.94
12/2/2016,54.46
12/5/2016,54.94
12/6/2016,53.93
12/7/2016,53
12/8/2016,53.89
12/9/2016,54.33
12/12/2016,55.69
12/13/2016,55.72
12/14/2016,53.9
12/15/2016,54.02
12/16/2016,55.21
12/19/2016,54.92
12/20/2016,55.35
12/21/2016,54.46
12/22/2016,55.05
12/23/2016,55.16
12/27/2016,56.09
12/28/2016,56.22
12/29/2016,56.14
12/30/2016,56.82
1/2/2017,56.82
1/3/2017,55.47
